본부코드,팀코드,담당자코드,광고주명,매체,계정
928,1184,201029,제이에이치코리아,NAVER,a100a100
928,1202,51,에코나노,NAVER,ansgmlgh1
928,1184,1548,로앤법무사사무소,NAVER,aphesis
926,1207,201104,카페이서(홍천점),NAVER,cafeeseo
928,1202,929,대영벽지,NAVER,dae02016
928,1202,25,CJ헬로,NAVER,diro1031
926,1207,1328,온고지신,NAVER,dmsdl6831
809,810,201115,아름드리,NAVER,dpdlsxxx:naver
928,1202,806,해피블라인드,NAVER,happyblind
926,1207,1328,주식회사 헤이페이,NAVER,heypay
926,1207,201011,서울송도병원,NAVER,isongdo
927,1200,1271,로라컴퍼니,NAVER,lauraclassy:naver
928,1184,1274,한톨,NAVER,moonsr68
928,1202,1211,토바펜션,NAVER,ojinger77
928,1202,652,팩토리아울렛,NAVER,renoma2716
928,1202,933,비아베뉴헤어살롱,NAVER,rose2213:naver
928,1202,939,쇼핑앤트리,NAVER,shhj1235:naver
927,1200,556,(주)서경닷컴,NAVER,skdc007
928,1184,201027,대전119방충망,NAVER,skyonebbang1
927,1200,201038,에스피프레시 주식회사,NAVER,spfresh:naver
927,1200,201038,야생앤더비,NAVER,thebee1970
928,1184,914,연세유펜치과,NAVER,ysupdent:naver
