부문,팀,담당자,광고주,매체,계정명
928,1202,25,클린하수구,KAKAO,297854
927,1200,930,블라인드나라,KAKAO,300251
927,1200,930,구구팩,KAKAO,300267
928,1184,201004,미풀,KAKAO,300825
926,964,1616,단디헬퍼(우리휴먼텍),KAKAO,300977
926,964,1616,세이프시터,KAKAO,301061
928,1202,806,(주)비원오피스,KAKAO,302004
928,1184,1548,베뉴지 웨딩홀,KAKAO,303517
928,1184,1548,대명씨엔에스,KAKAO,305894
928,1184,1548,공간산업,KAKAO,306055
928,1184,1548,네이버하비코리아,KAKAO,306284
928,1184,1548,세이프모터스,KAKAO,306535
928,1202,25,프레버,\,307856
926,964,200998,약손안마원,KAKAO,308955
928,1184,1548,JFS인더스트리,KAKAO,309213
928,1184,1548,대흥디엔씨,KAKAO,309288
928,1184,917,수지요양병원,KAKAO,311164
928,1184,917,화순현대요양병원,KAKAO,311299
928,1202,25,이안과학,KAKAO,312210
928,1202,25,이안과학,KAKAO,312212
928,1202,25,이안아트,KAKAO,314893
926,964,1616,태영커뮤니케이션즈,KAKAO,317478
928,1202,806,(주)금오디앤아이지점,KAKAO,317501
928,1202,806,골든여행사,KAKAO,317513
926,1207,200982,제일나염,KAKAO,318523
928,1202,806,금샘플러스도어,KAKAO,318570
928,1202,806,경원세기센추리,KAKAO,318590
928,1202,806,한울이엔씨,KAKAO,319438
928,1202,806,새연산업,KAKAO,319837
928,1202,806,두성종합배관,KAKAO,319876
928,1202,806,에프앤씨코리아(fnc코리아),KAKAO,319898
928,1202,806,더스트헌터,KAKAO,319933
928,1202,25,중앙국제결혼,KAKAO,319934
928,1184,201090,동성철망공업 주식회사,KAKAO,319957
928,1202,25,럭셔리 디자인,KAKAO,319960
928,1202,25,한국알파항공,KAKAO,319975
928,1202,25,주식회사 에바다,KAKAO,319990
928,1202,929,성지드림보험대리점,KAKAO,320022
928,1202,25,세명전기,KAKAO,320710
928,1202,806,디돌,KAKAO,321803
928,1202,806,태광건설정보,KAKAO,322150
928,1184,1548,현대탈수기,KAKAO,323277
926,964,1616,꼭두일러스트교육원,KAKAO,323595
928,1202,25,현수막팩토리,KAKAO,323635
928,1202,25,서강건업,KAKAO,323922
926,964,200998,플로우마스터코리아,KAKAO,326992
928,1202,806,충남스틸(주),KAKAO,327036
926,1207,200982,플로우시스템,KAKAO,327123
928,1202,25,유니트론보청기 인천서구점,KAKAO,327222
927,1200,1012,한국아동요리지도자협회,KAKAO,327366
926,964,1616,블루오토미션,KAKAO,330569
928,1202,251,상아시스템,KAKAO,331307
928,1202,25,세종다발관,KAKAO,333700
927,1200,551,현대금속,KAKAO,333726
928,1202,806,(주)이일코리아,KAKAO,337530
928,1202,806,자이로딕손,KAKAO,369642
928,1202,806,한국전례 대전지원,KAKAO,391969
928,1202,25,짱아빠,KAKAO,406796
926,964,200998,대전중기,KAKAO,427163
928,1184,201022,예원특수인쇄,KAKAO,457524
927,1200,1271,엠엔이씨,KAKAO,467917
928,1202,806,경림산업,KAKAO,468565
928,1202,806,(주)비원오피스,모먼트,106966
928,1202,201009,반려라이프,모먼트,117838
927,1200,930,주식회사티엠나인,모먼트,138725
927,1200,930,라라뷰,모먼트,146436
928,935,2,(주)지에스홈쇼핑,모먼트,154181
928,935,2,(주)교원크리에이티브,모먼트,156715
926,1207,201037,매드디자인,모먼트,189723
1204,1205,201073,(주)휴온스푸디언스,모먼트,195095
926,1207,201011,리오홀딩스(저스트크래프트),모먼트,243069
928,935,2,벨르랑코,모먼트,250983
928,1202,81,올리비움산후조리원,모먼트,267424
928,935,2,(주)미디어로그,모먼트,276004
928,1184,1548,벨르랑코,모먼트,283638
928,1202,1211,사조씨푸드,모먼트,294768
928,1184,917,헤비스테이크,모먼트,296434
927,1200,566,스마트인피니,모먼트,334512
1204,1205,201073,(주)이엘라이즈,모먼트,389780
928,1202,50,세렝게티,모먼트,414688
928,935,2,코스네이처,모먼트,424123
928,1184,1639,풀무원,모먼트,435959
928,935,2,(주)교원크리에이티브,모먼트,451275
928,966,201031,주식회사 디스피스,모먼트,452515
928,1184,201022,골든비치리조트,모먼트,454992
928,1202,933,프라이빗펜션,모먼트,466128
926,1207,200982,사단복지법인빛과소금유당마을,모먼트,46946
928,1184,200990,(주)미디어로그,모먼트,53889
928,1202,25,한국알파항공,모먼트,70060
928,1202,25,샐러디,모먼트,99234
