부문,팀,담당자,광고주명,매체,계정
928,1202,51,에코나노,NAVER,ansgmlgh1
928,1184,1548,로앤법무사사무소,NAVER,aphesis
928,1202,1040,비비스토어,NAVER,bbstoreh
928,1202,929,대영벽지,NAVER,dae02016
928,1202,25,CJ헬로,NAVER,diro1031
928,1202,898,하이디펜션,NAVER,heidian7
926,1207,1328,주식회사 헤이페이,NAVER,heypay
926,964,200998,우리안 송월타올,NAVER,iwoorian
927,1200,1271,로라컴퍼니,NAVER,lauraclassy:naver
928,1184,1274,한톨,NAVER,moonsr68
928,1202,939,라이트하우스,NAVER,notehouse
928,1202,1211,토바펜션,NAVER,ojinger77
926,964,200998,포스온,NAVER,poson_mall
928,1202,652,팩토리아울렛,NAVER,renoma2716
928,1202,933,비아베뉴헤어살롱,NAVER,rose2213:naver
927,1200,1271,숭문서점,NAVER,smbook
927,1200,1271,숭문문고,NAVER,smbook92:naver
